	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA	sentiment_BREYER	sentiment_GINSBURG	sentiment_KENNEDY	sentiment_ROBERTS	sentiment_SCALIA
00-10666	0	6/24/02	6	2	WILLIAM JOSEPH HARRIS v. UNITED STATES	-13.0	0.0	0.0	0.0	0.0	0.0	6/24/02	5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00-6374	0	5/29/01	5	1	"""DALE G. BECKER v. BETTY MONTGOMERY, ATTORNEY GENERAL OF OHIO, et al."""	9.0	0.0	0.0	0.0	0.0	0.0	5/29/01	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00-6567	0	1/8/02	1	2	LARRY DEAN DUSENBERY v. UNITED STATES	3.0	0.0	0.0	0.0	0.0	0.0	1/8/02	5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00-6677	0	6/4/01	6	1	"""JOHN PAUL PENRY v. GARY L. JOHNSON, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, INSTITUTIONAL DIVISION"""	-2.0	0.0	0.0	0.0	0.0	0.0	6/4/01	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00-6933	0	1/22/02	1	2	"""REMON LEE v. MIKE KEMNA, SUPERINTENDENT, CROSSROADS CORRECTIONAL CENTER"""	1.0	0.0	0.0	0.0	0.0	0.0	1/22/02	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00-8452	0	6/20/02	6	2	DARYL RENARD ATKINS v. VIRGINIA	-3.0	0.0	0.0	0.0	0.0	0.0	6/20/02	6	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00-9280	0	1/9/02	1	2	WILLIAM ARTHUR KELLY v. SOUTH CAROLINA	-3.0	0.0	0.0	0.0	0.0	0.0	1/9/02	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00-9285	-1	3/27/02	3	2	"""WALTER MICKENS, JR. v. JOHN TAYLOR, WARDEN"""	23.0	0.0	0.0	0.0	0.0	0.0	3/27/02	5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1015	1	3/4/03	3	3	"""VICTOR MOSELEY AND CATHY MOSELEY, DBA VICTOR'S LITTLE SECRET v. V SECRET CATALOGUE, INC., et al."""	8.0	0.0	0.0	0.0	0.0	0.0	3/4/03	9	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1067	-1	3/4/03	3	3	UNITED STATES v. WHITE MOUNTAIN APACHE TRIBE	10.0	0.0	0.0	0.0	0.0	0.0	3/4/03	5	4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-10873	0	6/9/03	6	3	KHANH PHUONG NGUYEN v. UNITED STATES et al.	16.0	0.0	0.0	0.0	0.0	0.0	6/9/03	5	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1107	-1	4/7/03	4	3	"""VIRGINIA v. BARRY ELTON BLACK, RICHARD J. ELLIOTT, AND JONATHAN O'MARA"""	38.0	0.0	0.0	0.0	0.0	0.0	4/7/03	7	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01-1118	-1	2/26/03	2	3	"""SCHEIDLER v. NATIONAL ORGANIZATION FOR WOMEN, INC."""	11.0	0.0	0.0	0.0	0.0	0.0	2/26/03	8	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
